Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
250	69	17	0	116	0	0	0	1269	23841	0	7	1	16	0	0	1341	36	4888	0	0	1518
500	66	0	0	0	0	0	0	4001	10	0	0	236	2	79	0	4071	21	255	0	0	4267
750	35	7	0	0	2	0	0	7226	0	0	0	638	50	435	0	7072	33	498	0	0	7053
1000	64	0	0	0	0	0	0	9661	21	0	0	924	1	649	0	10711	5	713	0	0	9627
1250	37	0	0	0	0	0	0	13074	0	0	0	1314	12	989	0	14314	38	894	0	0	12284
1500	16	0	0	0	1	0	0	16212	0	0	0	2274	7	1093	0	17200	6	1052	0	0	15520
1750	0	0	0	0	0	0	7	19370	48	0	0	2363	2	1311	0	20565	5	1314	0	0	18119
2000	0	0	0	0	2	0	0	22428	28	0	0	2846	2	1626	0	23847	5	1485	0	0	20772
2250	0	0	0	0	0	0	0	25104	7	0	0	3234	3	1961	0	26323	73	1759	0	0	23676
2500	0	0	0	0	4	0	0	28830	0	0	0	3876	3	2250	0	30372	6	2076	0	0	26542
2750	1	0	0	0	0	0	0	31453	7	7	0	4647	2	2597	0	33213	5	2292	0	0	29364
3000	1	0	0	0	0	0	0	34302	0	0	0	5309	6	3150	0	36524	5	2634	7	0	31104
3250	2	0	0	0	0	0	0	37371	129	0	0	6079	3	3632	0	40392	6	2943	7	0	32852
3500	1	0	0	0	3	0	0	40431	0	0	0	7381	13	3852	0	42316	5	3296	14	0	35588
3750	2	0	0	0	0	0	0	43462	0	0	0	7701	13	4296	0	46611	8	3658	21	0	38022
4000	2	0	0	0	0	0	0	46231	0	0	0	8981	6	4927	0	50101	8	3962	0	0	40979
4250	8	0	0	0	0	0	0	49365	0	0	0	9696	9	5314	0	52339	141	4327	7	0	43255
4500	5	0	0	0	0	0	0	52193	0	0	0	10386	1	5571	0	56911	5	4541	0	0	46632
4750	12	0	0	32	43	0	0	55430	0	0	0	11563	2	6001	0	60023	5	4954	0	0	49324
5000	13	7	0	0	0	0	0	58886	0	0	0	11853	3	5983	0	63061	4	5322	0	0	51709
5250	16	0	0	0	5	0	0	62214	0	0	0	13470	3	6326	0	66197	6	5653	0	0	54978
5500	9	7	0	0	0	0	0	65436	0	0	0	14128	3	7006	0	70686	5	5959	0	19	58813
5750	18	0	7	0	0	0	0	69382	0	28	0	15106	2	6845	0	74112	5	6353	0	7	63732
6000	31	0	0	0	0	0	0	72282	0	0	0	15571	4	7766	0	78830	36	6733	0	0	66736
6250	23	0	0	0	29	0	0	75335	0	0	0	17030	25	7337	0	81966	5	6950	0	0	69409
6500	24	0	7	0	0	0	0	78009	272	0	0	17556	1	7902	0	84706	5	7225	7	0	71690
6750	31	0	0	0	0	0	0	81268	0	0	0	18672	10	8340	0	90731	6	7532	7	0	74208
7000	24	0	0	0	0	0	0	85558	0	0	0	19104	4	8877	0	94420	4	7905	0	0	74025
7250	16	0	0	0	0	0	0	88514	0	0	0	20052	2	9081	0	98914	5	8124	0	0	75505
7500	18	0	0	7	0	0	0	94814	0	0	0	21141	3	9564	0	103889	6	8402	0	0	79080
7750	20	0	0	14	0	0	0	95024	0	0	0	21723	2	9630	0	108253	5	8675	0	0	86888
8000	24	0	0	7	0	0	0	98735	0	0	0	22388	2	9976	0	112292	6	8978	0	0	90027
8250	25	0	0	7	0	0	0	102941	0	0	0	23320	0	10435	0	120635	339	9531	0	0	92187
8500	25	0	0	14	0	0	0	107003	0	0	0	23381	3	10552	0	122336	4	9561	7	0	95393
8750	27	0	0	14	0	0	0	113064	0	0	0	24790	2	10761	0	129885	5	10163	7	0	96099
9000	22	0	0	7	0	0	0	113581	0	0	0	24764	3	11380	0	134235	6	10560	7	0	94665
9250	27	0	0	14	0	0	0	120151	0	0	0	26025	1	11665	0	141398	5	10508	7	0	98619
9500	26	0	0	7	0	0	0	121042	0	0	0	27120	5	11965	0	150037	5	10853	7	0	106703
9750	29	1	0	7	7	0	0	178571	0	7	0	27327	1	12369	0	157434	6	11176	0	0	109371
10000	27	0	0	0	0	7	0	167376	0	0	7	28368	6	12504	0	162126	5	11344	0	0	112470
10250	31	0	0	7	0	7	0	162992	0	7	0	29302	3	12781	0	171685	9	11603	0	0	113904
10500	24	0	0	0	0	0	0	176407	0	0	0	29480	4	12913	0	177644	12	12028	0	0	110716
10750	32	0	0	0	0	0	0	161440	22	0	0	30841	1	13522	0	188032	5	12237	0	0	114845
11000	37	0	0	0	0	0	0	148459	0	0	0	31900	2	14057	0	198067	5	12753	0	0	129249
11250	31	1	0	7	0	0	0	161217	0	0	0	32799	2	14013	0	202319	6	12796	0	0	127835
11500	32	0	0	14	1	0	0	163856	0	0	0	33769	3	14045	0	214261	5	13050	0	0	130202
11750	30	1	0	7	0	0	0	182080	0	0	0	34171	10	14421	0	222052	5	13313	0	0	126499
12000	32	0	0	3	0	0	0	183088	0	0	0	35189	2	15154	0	234470	6	13604	0	0	125356
12250	41	0	0	3	0	0	0	188301	0	0	0	36282	1	15690	1	246411	5	13877	7	0	129988
12500	28	0	0	0	0	0	0	179638	0	0	0	37056	4	15838	9	253613	5	14187	7	0	131111
12750	32	1	0	1	0	0	0	207781	0	0	0	37325	29	15929	21	262941	5	14647	7	0	134753
13000	32	0	0	0	0	0	0	200050	583	0	0	38745	2	16412	7	276835	5	14976	0	0	150625
13250	33	2	0	0	8	7	0	225521	0	0	0	39459	3	16498	0	286995	5	15084	0	0	152904
13500	30	1	0	0	0	0	0	238896	0	0	0	39193	4	17045	0	298915	10	15350	0	0	148192
13750	43	0	0	0	14	0	0	219111	0	0	0	40229	2	17662	14	307018	5	15632	0	0	145133
14000	46	2	0	0	17	0	0	212739	0	0	0	39617	2	17720	14	325229	5	15903	0	0	148407
14250	40	6	0	0	7	0	0	214120	0	0	0	40393	1	18131	0	331027	6	16320	0	0	160185
14500	37	1	0	0	17	7	0	242469	0	0	0	40937	0	18066	0	342661	5	16793	0	0	170087
14750	44	1	0	0	31	0	0	235189	0	0	0	40862	3	18793	21	359490	4	16757	0	0	167385
15000	74	1	0	0	14	0	7	244523	0	0	0	41505	0	19154	21	366157	6	17079	0	0	158803
15250	108	2	0	7	0	0	0	248455	0	0	0	41640	0	19232	14	380683	5	17336	0	0	161574
15500	44	2	0	0	2	0	0	249528	0	0	0	42010	2	19415	23	389780	5	17681	0	0	165167
15750	77	2	0	0	4	0	0	251961	0	0	0	42842	2	20233	7	406586	6	18231	0	0	172650
16000	60	1	0	0	11	0	0	376940	0	0	0	42614	3	20548	7	414898	10	19066	0	0	186655
16250	46	2	0	0	8	0	0	340599	0	0	0	43877	1	20733	0	424486	15	18725	0	0	174138
16500	90	4	0	0	2	0	0	340580	0	0	0	42575	3	20639	0	439866	576	19359	0	0	185285
16750	61	0	0	0	18	0	0	348653	0	0	0	44880	2	21586	0	453632	5	19079	0	0	195232
17000	45	0	0	0	33	0	0	357730	0	0	0	43921	3	22245	0	466808	5	19369	7	0	193610
17250	60	4	0	0	15	0	0	401885	7	14	0	44122	2	22146	0	490061	6	19849	0	0	204705
17500	51	2	0	0	33	0	0	365301	14	22	0	44818	1	22135	0	489249	5	19970	0	0	190646
17750	43	1	7	0	21	0	0	369931	7	0	0	44733	2	23053	0	502967	4	20441	0	0	190527
18000	46	5	0	0	15	0	0	379492	0	0	0	52754	3	22404	0	527032	6	20537	0	0	191615
18250	14042	4	0	0	82	0	0	385733	0	0	0	64610	3	23728	0	564159	5	20773	0	0	213113
18500	2105	4	0	0	3	0	0	409511	0	0	0	49096	5	23301	0	536462	28	21433	0	0	212105
18750	138	1	0	0	4	0	0	342216	23	0	0	50585	0	24420	0	554479	6	21417	0	0	207969
19000	102	0	0	0	0	0	0	321421	28	0	0	50727	2	24452	0	565440	5	21682	0	0	204213
19250	77	2	0	0	3	0	13	336551	0	0	0	51215	1	24798	0	576934	10	21944	0	0	231704
19500	63	4	0	0	3	0	0	340331	0	0	0	51537	2	25430	0	590408	6	22506	0	0	231240
19750	65	6	0	0	3	0	7	340679	0	0	0	52208	2	25818	0	598891	4	22523	0	0	212594
20000	74	1	0	0	0	0	0	358064	28	7	0	51341	2	25558	0	613855	5	22839	0	0	228958
20250	38	3	0	0	14	0	0	362901	7	21	0	52162	3	26908	0	623498	6	23106	0	0	227250
20500	48	3	0	0	0	0	0	364225	0	54	7	56583	1	26222	7	640376	5	24041	0	0	223503
20750	64	3	0	0	0	0	0	379052	0	0	0	54384	4	27023	0	643713	5	24083	0	0	223361
21000	39	9	0	0	2	0	0	382661	9	0	0	52685	1	27873	9	656869	6	24217	0	0	226788
21250	26	4	0	0	1	0	0	398245	0	0	0	54988	0	27324	0	668235	5	24399	0	0	245366
21500	28	8	0	0	2	0	0	395927	0	0	0	54788	2	28494	0	682526	5	24576	0	0	245655
21750	27	6	0	0	0	0	0	402862	0	0	0	55598	1	29134	0	691654	6	25179	0	0	251721
22000	33	5	0	0	2	0	0	410703	1	0	0	57622	2	29380	0	701538	4	25244	0	0	253281
22250	17	9	0	0	4	0	0	412820	0	0	0	56902	2	28570	0	711659	5	25488	0	0	240650
22500	24	7	0	0	0	0	0	425155	0	0	0	56560	3	30221	0	721701	9	25995	0	0	268841
22750	19	7	0	0	0	0	0	431216	0	0	0	58284	2	30319	0	732325	6	26800	0	0	272499
